TeamPair,MeanActualScores,MeanPredictedScores,MeanAbsoluteError,MatchCount
Memphis Grizzlies (cyber) - Milwaukee Bucks (cyber),208.42105263157896,211.02672675619303,8.17055477924933,19.0
Memphis Grizzlies (cyber) - Minnesota Timberwolves (cyber),190.05263157894737,193.02757611822096,8.951722544982253,19.0
Memphis Grizzlies (cyber) - Philadelphia 76ers (cyber),202.86666666666667,199.93349830981512,10.613300338036982,15.0
Memphis Grizzlies (cyber) - Phoenix Suns (cyber),206.88235294117646,204.58517225336945,7.367322543523038,17.0
Memphis Grizzlies (cyber) - Sacramento Kings (cyber),208.46341463414635,207.40881163423333,7.353733463986178,41.0
Miami Heat (cyber) - Atlanta Hawks (cyber),205.72413793103448,204.87843354131462,10.201757421061991,29.0
Miami Heat (cyber) - Boston Celtics (cyber),199.3548387096774,200.52175307277068,9.405330942526197,31.0
Miami Heat (cyber) - Brooklyn Nets (cyber),191.9090909090909,194.58101440557144,6.421365819025976,33.0
Miami Heat (cyber) - Cleveland Cavaliers (cyber),202.7741935483871,201.9770187320001,6.264736497161256,31.0
Miami Heat (cyber) - Milwaukee Bucks (cyber),213.66666666666666,213.5599407864698,10.838782495739679,33.0
Miami Heat (cyber) - New York Knicks (cyber),204.42857142857142,203.70111402522295,9.997890978047577,49.0
Miami Heat (cyber) - Philadelphia 76ers (cyber),200.1346153846154,200.4667872602025,9.942307692307692,52.0
Milwaukee Bucks (cyber) - Atlanta Hawks (cyber),219.5,218.61992013230505,9.785714285714286,28.0
Milwaukee Bucks (cyber) - Boston Celtics (cyber),215.03571428571428,213.71826996651393,7.973351438138853,28.0
Milwaukee Bucks (cyber) - Brooklyn Nets (cyber),213.25,210.43508490548467,9.778947720147753,48.0
Milwaukee Bucks (cyber) - Cleveland Cavaliers (cyber),215.56521739130434,215.12192944100735,7.386003067782289,46.0
Milwaukee Bucks (cyber) - Denver Nuggets (cyber),222.14285714285714,219.0049173151511,10.56932115064951,7.0
Milwaukee Bucks (cyber) - Memphis Grizzlies (cyber),208.4,209.9222100076375,9.756888400305499,25.0
Milwaukee Bucks (cyber) - Miami Heat (cyber),212.28125,212.33649071010572,8.572719330618392,32.0
Milwaukee Bucks (cyber) - New York Knicks (cyber),214.5,216.14325457335218,9.597420662425101,44.0
Milwaukee Bucks (cyber) - Philadelphia 76ers (cyber),213.97619047619048,213.42811459441765,9.69047619047619,42.0
Milwaukee Bucks (cyber) - Phoenix Suns (cyber),213.3,217.00268328498584,7.1010733139943225,10.0
Milwaukee Bucks (cyber) - Sacramento Kings (cyber),218.4090909090909,219.98302478356865,10.316638616688056,22.0
